CONDITION_CATEGORY,CONDITION,CODE,CODE_TYPE,INCLUSION_TYPE,ADDITIONAL_LOGIC
Cancer,Leukemias and Lymphomas,C8403,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06825A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Drug Use Disorders,F1219,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L8994,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C84Z1,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F18259,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72115B,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T400X4S,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S3210XA,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40603D,ICD-10-CM,Include,None
Other,Mobility Impairments,G8251,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I7055,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50211,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T40411A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89151,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M0688,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97225,ICD-10-CM,Include,None
Other,Cataract,H26062,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cancer,Leukemias and Lymphomas,C8233,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06849,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I25758,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S22009A,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I25119,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24143A,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1339,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97426,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89113,ICD-10-CM,Include,None
Mental Health,Personality Disorders,F600,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89016,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40491S,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T404X2A,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E11630,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06241,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,M84453A,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1429,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40414D,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F15150,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I238,ICD-10-CM,Include,None
Substance Abuse,Tobacco Use,T65293A,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N259,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8520,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89124,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0219XA,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L89000,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05322,ICD-10-CM,Include,None
Other,Glaucoma,H4031X0,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Chronic Kidney Disease,N018,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14142A,ICD-10-CM,Include,None
Other,Cataract,H26492,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Hip/Pelvic Fracture,S32461A,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q914,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1593,ICD-10-CM,Include,None
Other,Peripheral Vascular Disease (PVD),I7092,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32471A,ICD-10-CM,Include,None
Mental Health,Schizophrenia and Other Psychotic Disorders,F28,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E71314,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I7045,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19222,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9102,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89022,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8214,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1139,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9262,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63231,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Drug Use Disorders,F14150,ICD-10-CM,Include,None
Other,Mobility Impairments,I69033,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N071,ICD-10-CM,Include,None
Other,Cataract,H268,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cancer,Leukemias and Lymphomas,C8596,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T403X5S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72116A,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24104A,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08459,ICD-10-CM,Include,None
Other,Cataract,H26132,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Alcohol Use Disorders,F10151,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F554,ICD-10-CM,Include,None
Other,Mobility Impairments,I69954,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97112,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1359,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8447,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8442,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89510,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50221,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05859,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1390,ICD-10-CM,Include,None
Cardiovascular Disease,Heart Failure,I5023,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0232XA,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Chronic Kidney Disease,D3000,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E093219,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8236,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N005,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97805,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05222,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32442B,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,P961,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F1094,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S79092A,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I2121,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N015,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F10129,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70333,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97916,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S066X0A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I606,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Tobacco Use,T65224A,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,M7910,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,T510X1A,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05339,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8281,ICD-10-CM,Include,None
Cardiovascular Disease,Acute Myocardial Infarction,I2101,ICD-10-CM,Include,Only include first or second diagnosis from the encounter
Other,Hip/Pelvic Fracture,S79099A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0265XB,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Chronic Kidney Disease,D4122,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43519,ICD-10-CM,Include,None
Other,Glaucoma,H402214,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Cataract,H26499,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Opioid Use Disorder,T401X2S,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06325A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M47897,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E7119,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05821,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89156,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1114,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I97810,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Migraine and Chronic Headache,G43111,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S14117S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S7224XC,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,T400X5S,ICD-10-CM,Include,None
Other,Atrial Fibrillation,I482,ICD-10-CM,Include,Only include first or second diagnosis from the encounter
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06828A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E083411,ICD-10-CM,Include,None
Other,Sensory — Blindness and Visual Impairment,H548,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02122D,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q002,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8408,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34101A,ICD-10-CM,Include,None
Other,Mobility Impairments,G8383,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F16980,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32454A,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72143C,ICD-10-CM,Include,None
Neurodegenerative Disease,Muscular Dystrophy,G7100,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9401,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,E1329,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06320A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L89619,ICD-10-CM,Include,None
Other,Glaucoma,H40033,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cancer,Leukemias and Lymphomas,C969,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S066X2A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Mobility Impairments,G830,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E7219,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,N074,ICD-10-CM,Include,None
Other,Cataract,H26019,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Metabolic Disease,Diabetes,E10610,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S065X9S,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40604D,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72132C,ICD-10-CM,Include,None
Other,Anemia,D563,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70444,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133522,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43831,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40493S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32509B,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06315S,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89229,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",0D9V40Z,ICD-10-PCS,Include,None
Other,Hip/Pelvic Fracture,S32431B,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F10121,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103591,ICD-10-CM,Include,None
Mental Health,Schizophrenia,F200,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72044A,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06320S,ICD-10-CM,Include,None
Other,Cystic Fibrosis and Other Metabolic Developmental Disorders,E259,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32451B,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S22069B,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E08321,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8492,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08211,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8339,ICD-10-CM,Include,None
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q069,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9480,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32485A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06340A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Substance Abuse,Drug Use Disorders,T40414A,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E103293,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11121,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M47814,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70339,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G44021,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1344,ICD-10-CM,Include,None
Other,Epilepsy,G40824,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97202,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M488X9,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,HZ3BZZZ,ICD-10-PCS,Include,None
Other,Intellectual Disabilities and Related Conditions,Q8781,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F14950,ICD-10-CM,Include,None
Other,Glaucoma,H40031,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06303S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05771,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9512,ICD-10-CM,Include,None
Cardiovascular Disease,Acute Myocardial Infarction,I2109,ICD-10-CM,Include,Only include first or second diagnosis from the encounter
Other,Chronic Kidney Disease,N075,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72113B,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",K719,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E10649,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89009,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06300A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Asthma,J4540,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02672B,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",Z944,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S064X9A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Pressure and Chronic Ulcers,L98498,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8473,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S0230XA,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E113492,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1151,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133521,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,A5275,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06851,ICD-10-CM,Include,None
Other,Peripheral Vascular Disease (PVD),I70233,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8518,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F14250,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E093492,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32309A,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S061X6A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cancer,Leukemias and Lymphomas,C8461,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12980,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06872,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72051A,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F19250,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E08329,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8287,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,F10982,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9330,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S32602A,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q898,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50212,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19041,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06311A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M47015,ICD-10-CM,Include,None
Mental Health,"ADHD, Conduct Disorders, and Hyperkinetic Syndrome",F902,ICD-10-CM,Include,None
Metabolic Disease,Hyperlipidemia,E784,ICD-10-CM,Include,None
Other,Cataract,H25012,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I63011,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08831,ICD-10-CM,Include,None
Other,Glaucoma,H40232,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Opioid Use Disorder,F1120,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F12120,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8521,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50129,ICD-10-CM,Include,None
Other,Intellectual Disabilities and Related Conditions,Q915,ICD-10-CM,Include,None
Other,Chronic Kidney Disease,M10311,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T401X1A,ICD-10-CM,Include,None
Substance Abuse,Alcohol Use Disorders,HZ36ZZZ,ICD-10-PCS,Include,None
Substance Abuse,Tobacco Use,T65213A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89324,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89114,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133543,ICD-10-CM,Include,None
Mental Health,Schizophrenia and Other Psychotic Disorders,F24,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89146,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8386,ICD-10-CM,Include,None
Mental Health,Bipolar Disorder,F3162,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,C50621,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M08251,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34113A,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05451,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72046A,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,I70543,ICD-10-CM,Include,None
Mental Health,Schizophrenia and Other Psychotic Disorders,F060,ICD-10-CM,Include,None
Other,Glaucoma,H4030X1,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Hip/Pelvic Fracture,S32315B,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S322XXB,ICD-10-CM,Include,None
Cardiovascular Disease,Heart Failure,I5043,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06272,ICD-10-CM,Include,None
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",K702,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05461,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05511,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G44329,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L97909,ICD-10-CM,Include,None
Cardiovascular Disease,Heart Failure,I50813,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,D0510,ICD-10-CM,Include,None
Cardiovascular Disease,Ischemic Heart Disease,I201,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M47813,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05229,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S061X2A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Other,"Liver Disease, Cirrhosis, and Other Liver Conditions (except Viral Hepatitis)",K7689,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06818S,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,F11222,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9230,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8375,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06360A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E133499,ICD-10-CM,Include,None
Neurodegenerative Disease,Alzheimer's Disease and Related Disorders or Senile Dementia,F0280,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72101C,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S34103S,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,S72062C,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133599,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8291,ICD-10-CM,Include,None
Other,Chronic Obstructive Pulmonary Disease and Bronchiectasis,J470,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05729,ICD-10-CM,Include,None
Other,Pressure and Chronic Ulcers,L89203,ICD-10-CM,Include,None
Other,Glaucoma,H401131,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Substance Abuse,Drug Use Disorders,F12229,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E113411,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,I638,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Migraine and Chronic Headache,G44201,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9242,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M19042,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E0859,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9222,ICD-10-CM,Include,None
Cancer,Female/Male Breast Cancer,D0502,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S02610A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,G463,ICD-10-CM,Include,Exclude any encounter with any diagnosis code from exclusion list
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M05259,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9141,ICD-10-CM,Include,None
Other,Glaucoma,H401291,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Mental Health,Schizophrenia and Other Psychotic Disorders,F200,ICD-10-CM,Include,None
Other,Cataract,H26052,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Pressure and Chronic Ulcers,L89623,ICD-10-CM,Include,None
Other,Spina Bifida and Other Congenital Anomalies of the Nervous System,Q039,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E1110,ICD-10-CM,Include,None
Other,Spinal Cord Injury,S24103S,ICD-10-CM,Include,None
Other,Rheumatoid Arthritis/ Osteoarthritis (RA/OA),M06319,ICD-10-CM,Include,None
Other,Migraine and Chronic Headache,G43419,ICD-10-CM,Include,None
Cerebrovascular Disease,Stroke/Transient Ischemic Attack,S06306A,ICD-10-CM,Exclude,Exclude any encounter with any diagnosis code from exclusion list
Metabolic Disease,Diabetes,E133523,ICD-10-CM,Include,None
Other,Cataract,H25041,ICD-10-CM,Include,Only include principle diagnosis from the encounter
Other,Hip/Pelvic Fracture,S72065C,ICD-10-CM,Include,None
Substance Abuse,Drug Use Disorders,F1290,ICD-10-CM,Include,None
Other,Fibromyalgia and Chronic Pain and Fatigue,M60869,ICD-10-CM,Include,None
Other,Hip/Pelvic Fracture,M84659A,ICD-10-CM,Include,None
Cancer,Endometrial Cancer,C543,ICD-10-CM,Include,None
Other,Traumatic Brain Injury and Nonpsychotic Mental Disorders due to Brain Damage,S06301S,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C8286,ICD-10-CM,Include,None
Substance Abuse,Opioid Use Disorder,T40411A,ICD-10-CM,Include,None
Cancer,Leukemias and Lymphomas,C9510,ICD-10-CM,Include,None
Other,Sickle Cell Disease,D57811,ICD-10-CM,Include,None
Metabolic Disease,Diabetes,E133293,ICD-10-CM,Include,None
